0:Kurt|1:FriskPige
A:1:0 0 0 0 0 0 0 36 0.499999 20 20 1 2147483647 2147483647 0:TurnLeft
A:0:0 -9 -9 0 0 0 0 33 33 20 20 1 2147483647 2147483647 0:TurnLeft
A:1:-0.0349066 0 0 0 0 0 0 36.0397 0.483148 20 20 2 2147483647 2147483647 0:TurnLeft
A:0:-0.0349066 0 0 0 0 0 0 33.0379 33.003 20 20 2 2147483647 2147483647 0:TurnLeft
A:1:-0.0349066 0 0 0 0 0 0 36.1241 0.467479 20 20 3 2147483647 2147483647 0:TurnLeft
A:0:-0.0349066 0 0 0 0 0 0 33.1168 33.0468 20 20 3 2147483647 2147483647 0:TurnLeft
A:1:-0.0349066 0 0 0 0 0 0 36.2536 0.452955 20 20 4 2147483647 2147483647 0:TurnLeft
A:0:-0.0349066 0 0 0 0 0 0 33.2371 33.132 20 20 4 2147483647 2147483647 0:TurnLeft
A:1:-0.0349066 0 0 0 0 0 0 36.429 0.439556 20 20 5 2147483647 2147483647 0:TurnLeft
A:0:-0.0349066 0 0 0 0 0 0 33.3995 33.259 20 20 5 2147483647 2147483647 0:TurnLeft
A:1:-0.0349066 0 0 0 0 0 0 36.6512 0.427262 20 20 6 2147483647 2147483647 0:TurnLeft
A:0:-0.0349066 0 0 0 0 0 0 33.605 33.4286 20 20 6 2147483647 2147483647 0:TurnLeft
A:1:-0.0349066 0 0 0 0 0 0 36.9217 0.416061 20 20 7 2147483647 2147483647 0:TurnLeft
A:0:-0.0349066 0 0 0 0 0 0 33.8547 33.6421 20 20 7 2147483647 2147483647 0:TurnLeft
A:1:-0.0349066 0 0 0 0 0 0 37.2421 0.405949 20 20 8 2147483647 2147483647 0:TurnLeft
A:0:-0.0349066 0 0 0 0 0 0 34.1502 33.9009 20 20 8 2147483647 2147483647 0:TurnLeft
A:1:-0.0349066 0 0 0 0 0 0 37.6143 0.396926 20 20 9 2147483647 2147483647 0:TurnLeft
A:0:-0.0349066 0 0 0 0 0 0 34.4934 34.2067 20 20 9 2147483647 2147483647 0:TurnLeft
A:1:-0.0349066 0 0 0 0 0 0 27.0858 0.389001 20 20 10 2147483647 2147483647 0:TurnLeft
A:0:-0.0349066 0 0 0 0 0 0 34.8864 34.5615 20 20 10 2147483647 2147483647 0:TurnLeft
A:1:-0.0349066 0 0 0 0 0 0 24.4405 0.382191 20 20 11 2147483647 2147483647 0:TurnLeft
A:0:-0.0349066 0 0 0 0 0 0 32.6715 34.968 20 20 11 2147483647 2147483647 0:TurnLeft
